sigma0,sigma1,sigma2,phase_var
0.1,0.6,0.5,0.005114046253709796
0.1,0.6,0.6,0.005182294764708541
0.1,0.6,0.7000000000000001,0.005073261691868007
0.1,0.6,0.8,0.005103712420145421
0.1,0.6,0.9,0.005022504875403212
0.1,0.6,1.0,0.005219403685176972
0.1,0.6,1.1,0.005251218108901685
0.1,0.6,1.2000000000000002,0.0054983230152356585
0.1,0.6,1.3000000000000003,0.0055065265639368715
0.1,0.6,1.4000000000000001,0.005589637031626844
0.1,0.6,1.5000000000000002,0.005698715322978109
0.1,0.6,1.6,0.005935670218772322
0.1,0.6,1.7000000000000002,0.006121907546943186
0.1,0.6,1.8000000000000003,0.006223335956416095
0.1,0.6,1.9000000000000001,0.006485818247640323
0.1,0.6,2.0,0.0066091818677184305
0.1,0.7000000000000001,0.1,0.0057270193140499335
0.1,0.7000000000000001,0.2,0.0054226702651730884
0.1,0.7000000000000001,0.30000000000000004,0.005285112524084817
0.1,0.7000000000000001,0.4,0.0051522887867227725
0.1,0.7000000000000001,0.5,0.005053441377914615
0.1,0.7000000000000001,0.6,0.005087326942959247
0.1,0.7000000000000001,0.7000000000000001,0.004973901543888233
0.1,0.7000000000000001,0.8,0.005038970442718915
0.1,0.7000000000000001,0.9,0.005054402522579172
0.1,0.7000000000000001,1.0,0.00511551010962536
0.1,0.7000000000000001,1.1,0.005154369389555766
0.1,0.7000000000000001,1.2000000000000002,0.005306464348574341
0.1,0.7000000000000001,1.3000000000000003,0.005461113926629555
0.1,0.7000000000000001,1.4000000000000001,0.005506105978327526
0.1,0.7000000000000001,1.5000000000000002,0.005642736403387468
0.1,0.7000000000000001,1.6,0.005876703629259701
0.1,0.7000000000000001,1.7000000000000002,0.006022033889002172
0.1,0.7000000000000001,1.8000000000000003,0.00612845862429603
0.1,0.7000000000000001,1.9000000000000001,0.006308007655499594
0.1,0.7000000000000001,2.0,0.006536507207623311
0.1,0.8,0.1,0.005485333217271361
0.1,0.8,0.2,0.005299199832642945
0.1,0.8,0.30000000000000004,0.005192526413269057
0.1,0.8,0.4,0.005053334370711866
0.1,0.8,0.5,0.004962846498701375
0.1,0.8,0.6,0.00497210879211371
0.1,0.8,0.7000000000000001,0.004971564956406038
0.1,0.8,0.8,0.0049533296321998665
0.1,0.8,0.9,0.0049447905848941974
0.1,0.8,1.0,0.005131229026847745
0.1,0.8,1.1,0.005286306294593369
0.1,0.8,1.2000000000000002,0.005212124758969591
0.1,0.8,1.3000000000000003,0.005334402258455747
0.1,0.8,1.4000000000000001,0.005438247758202901
0.1,0.8,1.5000000000000002,0.005599625223174825
0.1,0.8,1.6,0.00574479806234658
0.1,0.8,1.7000000000000002,0.005895362432916397
0.1,0.8,1.8000000000000003,0.006085252899239271
0.1,0.8,1.9000000000000001,0.006211109669343212
0.1,0.8,2.0,0.006415881354325831
0.1,0.9,0.1,0.005455362884384448
0.1,0.9,0.2,0.005256274993213076
0.1,0.9,0.30000000000000004,0.0052320792783572346
0.1,0.9,0.4,0.005067099351463421
0.1,0.9,0.5,0.004991136955095237
0.1,0.9,0.6,0.0049930954212584035
0.1,0.9,0.7000000000000001,0.0049704266418409936
0.1,0.9,0.8,0.005070907533245231
0.1,0.9,0.9,0.005010444475375476
0.1,0.9,1.0,0.005086096847640249
0.1,0.9,1.1,0.005094534508537515
0.1,0.9,1.2000000000000002,0.005276996560323366
0.1,0.9,1.3000000000000003,0.005367841662849234
0.1,0.9,1.4000000000000001,0.005493865618105138
0.1,0.9,1.5000000000000002,0.005634084802019197
0.1,0.9,1.6,0.005710496164262317
0.1,0.9,1.7000000000000002,0.0059223338693130045
0.1,0.9,1.8000000000000003,0.006084552372899969
0.1,0.9,1.9000000000000001,0.006155613142651636
0.1,0.9,2.0,0.006308002412880593
0.1,1.0,0.1,0.0055648421930492575
0.1,1.0,0.2,0.005368661183035734
0.1,1.0,0.30000000000000004,0.00519903906539979
0.1,1.0,0.4,0.005109320929516651
0.1,1.0,0.5,0.004985821762498965
0.1,1.0,0.6,0.005074183844926342
0.1,1.0,0.7000000000000001,0.005049685900945588
0.1,1.0,0.8,0.0050131553968592625
0.1,1.0,0.9,0.005085582151737727
0.1,1.0,1.0,0.005152605422714255
0.1,1.0,1.1,0.005227880056080027
0.1,1.0,1.2000000000000002,0.005341847202842072
0.1,1.0,1.3000000000000003,0.005372605285860732
0.1,1.0,1.4000000000000001,0.005518899449419009
0.1,1.0,1.5000000000000002,0.005623797896241262
0.1,1.0,1.6,0.005723905633943733
0.1,1.0,1.7000000000000002,0.005867998615877075
0.1,1.0,1.8000000000000003,0.00599625198952666
0.1,1.0,1.9000000000000001,0.00610937396641061
0.1,1.0,2.0,0.006303931275610229
0.1,1.1,0.1,0.00557884941869038
0.1,1.1,0.2,0.005492106246720474
0.1,1.1,0.30000000000000004,0.005333692548072998
0.1,1.1,0.4,0.005199833280052514
0.1,1.1,0.5,0.0051489292056633
0.1,1.1,0.6,0.005161893250016671
0.1,1.1,0.7000000000000001,0.005146365560782932
0.1,1.1,0.8,0.005112903162412265
0.1,1.1,0.9,0.005124669132481672
0.1,1.1,1.0,0.005207173413023451
0.1,1.1,1.1,0.0052940951852883346
0.1,1.1,1.2000000000000002,0.005362370027856042
0.1,1.1,1.3000000000000003,0.005399451524582955
0.1,1.1,1.4000000000000001,0.0054697657834882445
0.1,1.1,1.5000000000000002,0.005691351130829462
0.1,1.1,1.6,0.005808319285051379
0.1,1.1,1.7000000000000002,0.005968579520122398
0.1,1.1,1.8000000000000003,0.006051869867007992
0.1,1.1,1.9000000000000001,0.006304848885755973
0.1,1.1,2.0,0.006384780257363447
0.1,1.2000000000000002,0.1,0.005669147325706181
0.1,1.2000000000000002,0.2,0.005558702672599421
0.1,1.2000000000000002,0.30000000000000004,0.005415338535139129
0.1,1.2000000000000002,0.4,0.005346096265729245
0.1,1.2000000000000002,0.5,0.005259955896356014
0.1,1.2000000000000002,0.6,0.005249601137108246
0.1,1.2000000000000002,0.7000000000000001,0.005292538790396015
0.1,1.2000000000000002,0.8,0.005237697989068766
0.1,1.2000000000000002,0.9,0.005228814817414758
0.1,1.2000000000000002,1.0,0.005300349155945215
0.1,1.2000000000000002,1.1,0.005418203145172944
0.1,1.2000000000000002,1.2000000000000002,0.005435170341904001
0.1,1.2000000000000002,1.3000000000000003,0.0055121197226624405
0.1,1.2000000000000002,1.4000000000000001,0.005603352908907579
0.1,1.2000000000000002,1.5000000000000002,0.005681838912491024
0.1,1.2000000000000002,1.6,0.005892993643483241
0.1,1.2000000000000002,1.7000000000000002,0.005969926516769712
0.1,1.2000000000000002,1.8000000000000003,0.0061343590322051325
0.1,1.2000000000000002,1.9000000000000001,0.0063244488632574185
0.1,1.2000000000000002,2.0,0.006503059936372265
